"AI_MOTOR_30M01_USER_CTU_FAIL";"DB3,W22"
"AI_MOTOR_30M02_USER_CTU_FAIL";"DB3,W46"
"AI_MOTOR_30M03_USER_CTU_FAIL";"DB3,W70"
"AI_MOTOR_30M03_1_USER_CTU_FAIL";"DB3,W94"
"AI_MOTOR_30M04_USER_CTU_FAIL";"DB3,W118"
"AI_MOTOR_30M05_USER_CTU_FAIL";"DB3,W142"
"AI_MOTOR_30M06_USER_CTU_FAIL";"DB3,W166"
"AI_MOTOR_30M07_USER_CTU_FAIL";"DB3,W190"
"AI_MOTOR_30M11_1_USER_CTU_FAIL";"DB3,W214"
"AI_MOTOR_30M11_2_USER_CTU_FAIL";"DB3,W238"
"AI_MOTOR_30M11_3_USER_CTU_FAIL";"DB3,W262"
"AI_MOTOR_30M12_1_USER_CTU_FAIL";"DB3,W286"
"AI_MOTOR_30M12_2_USER_CTU_FAIL";"DB3,W310"
"AI_MOTOR_30M12_3_USER_CTU_FAIL";"DB3,W334"
"AI_MOTOR_30M13_1_USER_CTU_FAIL";"DB3,W358"
"AI_MOTOR_30M13_2_USER_CTU_FAIL";"DB3,W382"
"AI_MOTOR_30M13_3_USER_CTU_FAIL";"DB3,W406"
"AI_MOTOR_30M14_USER_CTU_FAIL";"DB3,W430"
"AI_MOTOR_30M15_USER_CTU_FAIL";"DB3,W454"
"AI_MOTOR_30M16_USER_CTU_FAIL";"DB3,W478"
"AI_MOTOR_30M17_USER_CTU_FAIL";"DB3,W502"
"AI_MOTOR_30M20_USER_CTU_FAIL";"DB3,W526"
"AI_MOTOR_30M21_USER_CTU_FAIL";"DB3,W550"
"AI_MOTOR_30M22_USER_CTU_FAIL";"DB3,W574"
"AI_MOTOR_30M23_USER_CTU_FAIL";"DB3,W598"
"AI_MOTOR_30M24_USER_CTU_FAIL";"DB3,W622"
"AI_MOTOR_30M25_USER_CTU_FAIL";"DB3,W646"
"AI_MOTOR_30M26_USER_CTU_FAIL";"DB3,W670"
"AI_MOTOR_30M27_USER_CTU_FAIL";"DB3,W694"
"AI_MOTOR_30M28_USER_CTU_FAIL";"DB3,W718"
"AI_MOTOR_30M29_USER_CTU_FAIL";"DB3,W742"
"AI_MOTOR_30M30_USER_CTU_FAIL";"DB3,W766"
"AI_MOTOR_10M01_USER_CTU_FAIL";"DB1,W22"
"AI_MOTOR_10M02_USER_CTU_FAIL";"DB1,W46"
"AI_MOTOR_10M03_USER_CTU_FAIL";"DB1,W70"
"AI_MOTOR_10M04_USER_CTU_FAIL";"DB1,W94"
"AI_MOTOR_10M05_USER_CTU_FAIL";"DB1,W118"
"AI_MOTOR_10M06_USER_CTU_FAIL";"DB1,W142"
"AI_MOTOR_10M07_USER_CTU_FAIL";"DB1,W166"
"AI_MOTOR_10M08_USER_CTU_FAIL";"DB1,W190"
"AI_MOTOR_10M08_1_USER_CTU_FAIL";"DB1,W214"
"AI_MOTOR_10M09_USER_CTU_FAIL";"DB1,W238"
"AI_MOTOR_10M10_USER_CTU_FAIL";"DB1,W262"
"AI_MOTOR_10M10_1_USER_CTU_FAIL";"DB1,W286"
"AI_MOTOR_10M11_USER_CTU_FAIL";"DB1,W310"
"AI_MOTOR_10M12_USER_CTU_FAIL";"DB1,W334"
"AI_MOTOR_10M13_USER_CTU_FAIL";"DB1,W358"
"AI_MOTOR_10M14_USER_CTU_FAIL";"DB1,W382"
"AI_MOTOR_10M15_USER_CTU_FAIL";"DB1,W406"
"AI_MOTOR_10M16_USER_CTU_FAIL";"DB1,W430"
"AI_MOTOR_10M17_USER_CTU_FAIL";"DB1,W454"
"AI_MOTOR_10M18_USER_CTU_FAIL";"DB1,W478"
"AI_MOTOR_10M19_USER_CTU_FAIL";"DB1,W502"
"AI_MOTOR_10M20_USER_CTU_FAIL";"DB1,W526"
"AI_MOTOR_10M21_USER_CTU_FAIL";"DB1,W550"
"AI_MOTOR_10M21_1_USER_CTU_FAIL";"DB1,W574"
"AI_MOTOR_10M22_USER_CTU_FAIL";"DB1,W598"
"AI_MOTOR_10M23_USER_CTU_FAIL";"DB1,W622"
"AI_MOTOR_10M24_USER_CTU_FAIL";"DB1,W646"
"AI_MOTOR_10M25_USER_CTU_FAIL";"DB1,W670"
"AI_MOTOR_10M26_USER_CTU_FAIL";"DB1,W694"
"AI_MOTOR_10M27_USER_CTU_FAIL";"DB1,W718"
"AI_MOTOR_10M28_USER_CTU_FAIL";"DB1,W742"
"AI_MOTOR_10M29_USER_CTU_FAIL";"DB1,W766"
"AI_MOTOR_10M30_USER_CTU_FAIL";"DB1,W790"
"AI_MOTOR_10M31_USER_CTU_FAIL";"DB1,W814"
"AI_MOTOR_10M32_USER_CTU_FAIL";"DB1,W838"
"AI_MOTOR_10M33_USER_CTU_FAIL";"DB1,W862"
"AI_MOTOR_10M07_1_USER_CTU_FAIL";"DB1,W886"
"AI_MOTOR_10M09_1_USER_CTU_FAIL";"DB1,W910"
